index,dataset,text_token_count,image_count,image_tokens_total,total_tokens,image_details,text_tokens_list,question
1,MathVista_MINI,272,1,1226,1498,"[{'original_size': (1514, 720), 'target_size': (1428, 672), 'patches_h': 24, 'patches_w': 51, 'total_patches': 1224, 'image_tokens': 1224, 'total_image_tokens': 1226, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 22703, 264, 19057, 16574, 1372, 448, 825, 12122, 1992, 323, 3410, 279, 1590, 897, 11, 384, 1302, 2572, 220, 16, 13, 17, 11, 220, 16, 13, 18]","Hint: Please answer the question requiring a floating-point number with one decimal place and provide the final value, e.g., 1.2, 1.3, 1.4, at the end.
Question: When a spring does work on an object, we cannot find the work by simply multiplying the spring force by the object's displacement. The reason is that there is no one value for the force-it changes. However, we can split the displacement up into an infinite number of tiny parts and then approximate the force in each as being constant. Integration sums the work done in all those parts. Here we use the generic result of the integration.

In Figure, a cumin canister of mass $m=0.40 \mathrm{~kg}$ slides across a horizontal frictionless counter with speed $v=0.50 \mathrm{~m} / \mathrm{s}$. It then runs into and compresses a spring of spring constant $k=750 \mathrm{~N} / \mathrm{m}$. When the canister is momentarily stopped by the spring, by what distance $d$ is the spring compressed?"
2,MathVista_MINI,85,1,1001,1086,"[{'original_size': (1024, 768), 'target_size': (1036, 756), 'patches_h': 27, 'patches_w': 37, 'total_patches': 999, 'image_tokens': 999, 'total_image_tokens': 1001, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 22703, 458, 7546, 4226, 323, 3410, 279, 1590, 897, 11, 384, 1302, 2572, 220, 16, 11, 220, 17, 11, 220, 18, 11, 518, 279, 835, 624, 14582]","Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: what is the total volume of the measuring cup? (Unit: g)"
3,MathVista_MINI,135,1,12,147,"[{'original_size': (131, 60), 'target_size': (140, 56), 'patches_h': 2, 'patches_w': 5, 'total_patches': 10, 'image_tokens': 10, 'total_image_tokens': 12, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 14520, 111, 25411]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: △ABC的两内角平分线OB、OC相交于点O，若∠A＝110°，则∠BOC＝（）
Choices:
(A) 135°
(B) 140°
(C) 145°
(D) 150°"
4,MathVista_MINI,88,1,101,189,"[{'original_size': (320, 240), 'target_size': (308, 252), 'patches_h': 9, 'patches_w': 11, 'total_patches': 99, 'image_tokens': 99, 'total_image_tokens': 101, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 22703, 458, 7546, 4226, 323, 3410, 279, 1590, 897, 11, 384, 1302, 2572, 220, 16, 11, 220, 17, 11, 220, 18, 11, 518, 279, 835, 624, 14582]","Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: Subtract all large rubber spheres. Subtract all big shiny cylinders. How many objects are left?"
5,MathVista_MINI,102,1,110,212,"[{'original_size': (322, 245), 'target_size': (336, 252), 'patches_h': 9, 'patches_w': 12, 'total_patches': 108, 'image_tokens': 108, 'total_image_tokens': 110, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 7379, 400, 76]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Find $m\angle H$
Choices:
(A) 97
(B) 102
(C) 107
(D) 122"
6,MathVista_MINI,128,1,9,137,"[{'original_size': (203, 30), 'target_size': (196, 28), 'patches_h': 1, 'patches_w': 7, 'total_patches': 7, 'image_tokens': 7, 'total_image_tokens': 9, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 1634, 6839, 304]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, if CB = 4.0, DB = 7.0, and D is the midpoint of AC, then the length of AC is ()
Choices:
(A) 6cm
(B) 7cm
(C) 4cm
(D) 5cm"
7,MathVista_MINI,113,1,51,164,"[{'original_size': (203, 204), 'target_size': (196, 196), 'patches_h': 7, 'patches_w': 7, 'total_patches': 49, 'image_tokens': 49, 'total_image_tokens': 51, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 3555, 882, 374]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: What time is shown? Answer by typing a time word, not a number. It is (_) after eight.
Choices:
(A) half
(B) quarter
(C) o'clock
(D) quarter to
(E) quarter past"
8,MathVista_MINI,111,1,393,504,"[{'original_size': (640, 480), 'target_size': (644, 476), 'patches_h': 17, 'patches_w': 23, 'total_patches': 391, 'image_tokens': 391, 'total_image_tokens': 393, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 2160, 279, 1372]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Is the number of tiny gray bicycles that are on the left side of the brown metal sedan greater than the number of things that are to the left of the tiny green bicycle?
Choices:
(A) Yes
(B) No"
9,MathVista_MINI,140,1,32,172,"[{'original_size': (134, 155), 'target_size': (140, 168), 'patches_h': 6, 'patches_w': 5, 'total_patches': 30, 'image_tokens': 30, 'total_image_tokens': 32, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 69372, 28029, 99639]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图是一株美丽的勾股树，其中所有四边形都是正方形，所有的三角形都是直角三角形，若正方形A、B的面积分别为5、3，则最大正方形C的面积是（）
Choices:
(A) 15
(B) 13
(C) 11
(D) 8"
10,MathVista_MINI,93,1,197,290,"[{'original_size': (376, 418), 'target_size': (364, 420), 'patches_h': 15, 'patches_w': 13, 'total_patches': 195, 'image_tokens': 195, 'total_image_tokens': 197, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 15920, 1633, 4041]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Which object comes next?
Choices:
(A) A
(B) B
(C) C
(D) D
(E) E"
